"category","rating","lat","name","phone","city_id","avgprice","office_hours","shop_id","address","city_name","lng","category_id"
"按摩","4.0","13.702854","克里普索人妖秀","+66-2-68814157","1","181","CalypsoCabaretLadyboyShow","1000","AsiatiqueTheRiverfront(Warehouseno.3);2194Charoenkrung72-76Rd","曼谷","100.502714","1"
"按摩","4.0","13.7278956","曼谷安东尼人妖秀","Telephone","1","96","晚19：30－21：30","1001","拉差达披色路18巷第252,5号","曼谷","100.5241235","1"
"按摩","3.5","13.785448","金东尼人妖秀","+66-2-6928206","1","75","GoldenDomeCabaretShow","1002","汇权拉查达比瑟区18巷252/5号","曼谷","100.577266","1"
"按摩","3.5","13.738989","曼波人妖秀","+66-2-2595715","1","null","MamboCabaretShow","1003","59/28Sathu-phararam3Rd.","曼谷","100.563884","1"
"按摩","3.5","13.752302","曼谷人妖秀","+66-2-2150571","1","103","PlayhouseTheatreCabaret","1004","296PhayathaiRoad,AsiaHotel,Bangkok,10400,Thailand","曼谷","100.531307","1"
"按摩","3.5","13.682515","曼波人妖秀","+66-2-22947381","1","null","20:15-23:00","1005","59/28,YannawaRd,ChongNonsi,YanNawa","曼谷","100.539697","1"
"按摩","3.5","13.732677","曼谷明星人妖歌舞团","Telephone","1","null","尚无营业时间","1006","曼谷包卖场店对面","曼谷","100.60739","1"
"按摩","3.0","13.724302","曼谷明星人妖秀","Telephone","1","null","尚无营业时间","1007","KhlongToeiKhlongTanBangkok10110Thailand","曼谷","100.571806","1"
"按摩","3.0","13.78441","曼谷美味王酒家","Telephone","1","null","尚无营业时间","1008","口力差达18巷金东妮人妖对面巷","曼谷","100.5764","1"
"按摩","2.0","13.78427","北京酒家","Telephone","1","null","尚无营业时间","1009","金东尼人妖秀不远","曼谷","100.57887","1"
"按摩","5.0","13.704181","新河畔夜市","+66-2-1084488","1","null","ASIATIQUE","1010","WatPrayakrai地区Charoenkrung路2194号","曼谷","100.506089","1"
"按摩","4.0","13.702854","克里普索人妖秀","+66-2-68814157","1","181","CalypsoCabaretLadyboyShow","1011","AsiatiqueTheRiverfront(Warehouseno.3);2194Charoenkrung72-76Rd","曼谷","100.502714","1"
"按摩","4.0","13.7278956","曼谷安东尼人妖秀","Telephone","1","96","晚19：30－21：30","1012","拉差达披色路18巷第252,5号","曼谷","100.5241235","1"
"按摩","3.5","13.785448","金东尼人妖秀","+66-2-6928206","1","75","GoldenDomeCabaretShow","1013","汇权拉查达比瑟区18巷252/5号","曼谷","100.577266","1"
"按摩","3.5","13.738989","曼波人妖秀","+66-2-2595715","1","null","MamboCabaretShow","1014","59/28Sathu-phararam3Rd.","曼谷","100.563884","1"
"按摩","3.5","13.752302","曼谷人妖秀","+66-2-2150571","1","103","PlayhouseTheatreCabaret","1015","296PhayathaiRoad,AsiaHotel,Bangkok,10400,Thailand","曼谷","100.531307","1"
"按摩","3.5","13.682515","曼波人妖秀","+66-2-22947381","1","null","20:15-23:00","1016","59/28,YannawaRd,ChongNonsi,YanNawa","曼谷","100.539697","1"
"按摩","3.5","13.732677","曼谷明星人妖歌舞团","Telephone","1","null","尚无营业时间","1017","曼谷包卖场店对面","曼谷","100.60739","1"
"按摩","3.0","13.724302","曼谷明星人妖秀","Telephone","1","null","尚无营业时间","1018","KhlongToeiKhlongTanBangkok10110Thailand","曼谷","100.571806","1"
"按摩","3.0","13.78441","曼谷美味王酒家","Telephone","1","null","尚无营业时间","1019","口力差达18巷金东妮人妖对面巷","曼谷","100.5764","1"
"按摩","2.0","13.78427","北京酒家","Telephone","1","null","尚无营业时间","1020","金东尼人妖秀不远","曼谷","100.57887","1"
"按摩","5.0","13.704181","新河畔夜市","+66-2-1084488","1","null","ASIATIQUE","1021","WatPrayakrai地区Charoenkrung路2194号","曼谷","100.506089","1"
